company_id,company_name,broad_sector,return_on_equity_pct,debt_to_equity,revenue_cagr_5yr,free_cash_flow_cr,operating_profit_margin_pct,cluster,distance_to_centroid,cluster_name
ABB,Abbott India Ltd,Industrials,32.46823465801568,0.0224384968910516,9.716101277290168,797.0,24.84185330825782,1,0.437094676411952,Value Cyclicals
ADANIENSOL,Adani Energy Solutions Ltd,Energy,9.461276797721698,2.93252116130053,17.85124994851739,1095.0,34.38911302462817,1,1.3440616956936586,Value Cyclicals
ADANIENT,Adani Enterprises Ltd,Industrials,8.534650424813185,1.671358378544375,19.01541475308124,-8455.0,11.799296833677312,1,1.3140244600764377,Value Cyclicals
ADANIGREEN,Adani Green Energy Ltd,Energy,12.81269066503966,4.018762111323171,30.5048865351,-13347.0,77.31246648372506,3,2.4477993003670333,High Leverage
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,15.3548827162833,0.937322369168972,19.57867595245697,8250.0,58.36172363445772,0,1.1373662525504034,High Margin Businesses
ADANIPOWER,Adani Power Ltd,Energy,47.22408903146559,0.8023177656738903,16.086096410440966,17651.0,36.20186292228556,1,1.0227862610183724,Value Cyclicals
AMBUJACEM,Ambuja Cements Ltd,Materials,11.428984947896565,0.0168612504824392,4.952158000173124,-3295.0,19.30036188178528,1,0.994297667736637,Value Cyclicals
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,13.480392156862743,0.7688869665513264,14.660042602193135,383.0,12.56099480560365,1,0.5806738013664655,Value Cyclicals
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,29.677488252883386,0.1321016659547202,13.029660349453076,3556.0,21.3692069305536,1,0.3165164638995237,Value Cyclicals
ATGL,Adani Total Gas Ltd,Energy,18.65921787709497,0.4349162011173184,21.08864867789759,8644.0,24.67039106145252,1,1.3503940770464458,Value Cyclicals
AXISBANK,Axis Bank Ltd,Financials,15.832712405189048,4.018762111323171,14.74358712051438,-14556.0,34.69264599658038,3,1.3117668823898498,High Leverage
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,26.61418410330778,0.0660175402251225,8.127604751021389,6486.0,19.53420993982616,1,0.4829372642430073,Value Cyclicals
BAJAJFINSV,Bajaj Finserv Ltd,Financials,25.850351412279537,4.018762111323171,20.97274568418761,-16191.0,37.04045949520755,4,0.9975329114161532,High Leverage
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,13.576787656460263,0.0011613545449517,30.5048865351,1469.0,77.31246648372506,0,2.468711721377528,High Margin Businesses
BAJFINANCE,Bajaj Finance Ltd,Financials,18.841921351830603,3.824788776468134,24.35264273954201,-16191.0,29.28581823473769,4,1.442890462499351,High Leverage
BANKBARODA,Bank of Baroda,Financials,15.761863790899902,4.018762111323171,17.477297665890944,-7559.0,37.4889127294537,3,1.4750505026786724,High Leverage
BEL,Bharat Electronics Ltd,Industrials,47.22408903146559,0.5119047619047619,10.7508063318833,-1265.0,24.921057825143084,2,0.763517970929487,High Margin Businesses
BHARTIARTL,Bharti Airtel Ltd,Communication Services,10.35839213740181,2.6094723973904306,13.17410230151459,23545.0,52.20093077836007,0,1.5447002769681772,High Margin Businesses
BHEL,"Bharat Heavy Electricals Limited
",Industrials,1.1539405843358703,0.3623864473361158,-4.728642461606237,-2382.0,2.9757669610346125,1,2.317218754228762,Value Cyclicals
BOSCHLTD,Bosch Ltd,Consumer Discretionary,20.639920424403183,0.0032327586206896,6.717165240230294,1536.0,12.524660728164047,1,0.747015561355319,Value Cyclicals
BPCL,Bharat Petroleum Corporation Ltd,Energy,35.511337343822305,0.7218747934157467,8.483226324685255,23545.0,9.83790949444634,1,0.9851857189730128,Value Cyclicals
BRITANNIA,Britannia Industries Ltd,Consumer Staples,47.22408903146559,0.5239786856127886,8.690023727476138,3050.0,18.88603971614288,1,0.3974929786474245,Value Cyclicals
CANBK,Canara Bank,Financials,16.716051794688113,4.018762111323171,18.17561078322378,13296.0,41.75390656810141,3,2.2701572552099227,High Leverage
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,17.455213596692694,4.018762111323171,21.939164804975263,-16191.0,28.10102802275218,4,1.304791972037144,High Leverage
CIPLA,"Cipla Ltd
",Healthcare,15.554557028383137,0.0209316258518684,9.513860126378049,1152.0,75.59168153953597,0,0.7457989878730273,High Margin Businesses
COALINDIA,Coal India Ltd,Materials,45.16982956605826,0.0788468512027076,7.402890725901301,13617.0,66.29380849329698,0,1.1058306841493903,High Margin Businesses
DABUR,Dabur India Ltd,Consumer Staples,18.355969997972835,0.1383539428339752,7.814065037783324,1042.0,19.348597226701063,1,0.5624541167987555,Value Cyclicals
DIVISLAB,Divis Laboratories Ltd,Healthcare,11.78984599513669,0.0002210596124088,9.664930361854074,992.0,28.17080943275972,1,0.5070020385832009,Value Cyclicals
DLF,DLF Ltd,Real Estate,6.908270142781061,0.1225938982019223,-4.763685163798149,1010.0,33.04807841916913,1,2.3312052184280185,Value Cyclicals
DMART,Avenue Supermarts Ltd,Consumer Discretionary,13.56294790886726,0.0316611402289014,20.48312440202782,278.0,8.084427730414067,1,1.3577263981942629,Value Cyclicals
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,19.74233736816026,0.0708572237559283,12.639644349571988,509.0,28.321016743422227,1,0.486797882145123,Value Cyclicals
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,22.172346910501524,0.0232197284566361,11.036936496739692,890.0,26.179245283018872,1,0.4022803120889957,Value Cyclicals
GAIL,GAIL (India) Ltd,Energy,12.86154006000234,0.2830499889606088,11.825154521824269,4360.0,10.743987750322754,1,0.3563340033195591,Value Cyclicals
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,-4.45308779171297,0.2557548817272583,6.447080048592069,-1365.0,20.97758229284904,1,0.7647574199473667,Value Cyclicals
GRASIM,Grasim Industries Ltd,Industrials,11.196462612658342,1.547099364939709,11.15172597339149,-16191.0,20.763028905617738,1,1.7760183659622253,Value Cyclicals
HAL,Hindustan Aeronautics Ltd,Industrials,47.22408903146559,0.6180904522613065,8.712548590236358,1814.0,32.08913465652875,2,0.7635179709294964,High Margin Businesses
HAVELLS,Havells India Ltd,Industrials,17.067275412917954,0.040687525177924,13.03790793906312,335.0,10.118343195266272,1,0.5271808915850598,Value Cyclicals
HCLTECH,HCL Technologies Ltd,Information Technology,23.01393141233172,0.0843502336551279,12.710299978373406,15840.0,22.015594151738192,1,0.4988325232757654,Value Cyclicals
HDFCBANK,HDFC Bank Ltd,Financials,14.33974005030719,4.018762111323171,21.95098428169122,23545.0,61.41252040373843,3,1.651481972193631,High Leverage
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,10.732306013909724,0.0647756716214373,21.16813430936688,-2893.0,77.31246648372506,0,1.2965103714841393,High Margin Businesses
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,21.14243742584327,0.0342392225549466,2.1530677970544643,3095.0,77.31246648372506,0,1.662391728239025,High Margin Businesses
HINDALCO,Hindalco Industries Ltd,Materials,9.567011474761175,0.5309290976579428,10.592433818985914,9789.0,77.31246648372506,0,0.5700729847491547,High Margin Businesses
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,20.074973642078955,0.0289741887617634,9.504485244074123,10145.0,76.31672482874498,0,0.6918912423095709,High Margin Businesses
ICICIBANK,ICICI Bank Ltd,Financials,17.99027109750765,4.018762111323171,17.25086850260209,12547.0,62.41380175029464,3,1.030510423521662,High Leverage
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,15.7230643179025,0.0028676771814829,12.91184100336258,486.0,77.31246648372506,0,0.4848136118201055,High Margin Businesses
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,7.732848705134029,0.109041344843253,16.84553965244746,105.0,77.31246648372506,0,0.94876543628945,High Margin Businesses
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,47.22408903146559,0.0185792349726775,19.313355125806165,9424.0,76.29890862649484,0,1.5166247032457516,High Margin Businesses
INDUSINDBK,IndusInd Bank Ltd,Financials,14.252273197764223,4.018762111323171,15.495613083358029,-16191.0,38.55469091544986,3,1.4097677259408847,High Leverage
INFY,Infosys Ltd,Information Technology,29.788006718416632,0.0948635889055336,13.199100930556227,20117.0,23.703390381987376,1,0.6933576015761846,Value Cyclicals
IOC,"Indian Oil Corporation
",Energy,23.53162465856491,0.7230954600718581,8.008755667240486,23545.0,9.743776019125344,1,1.5605815262904017,Value Cyclicals
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,34.39628482972136,0.0185758513931888,17.955244103890912,667.0,34.33255269320843,1,1.1036262023820054,Value Cyclicals
IRFC,Indian Railway Finance Corporation Ltd,Financials,13.038085361638096,4.018762111323171,19.06740855567788,7906.0,77.31246648372506,3,1.5966460301520264,High Leverage
ITC,"ITC Ltd
",Consumer Staples,27.851074395694365,0.0040667319849141,7.950896846254429,18742.0,37.0177518132814,1,0.9862663174266224,Value Cyclicals
JINDALSTEL,Jindal Steel & Power Ltd,Materials,13.410506363390198,0.3716941962270963,1.402831094774171,-2336.0,20.260555268697622,1,1.4171835642844377,Value Cyclicals
JIOFIN,Jio Financial Services Ltd,Financials,1.153456416595399,0.0,17.364083084246516,763.0,77.31246648372506,0,0.6149479871918461,High Margin Businesses
JSWENERGY,JSW Energy Ltd,Energy,8.280529953917052,1.5156009984639016,4.679956053916468,-1963.0,46.857043357130415,1,1.442879695750679,Value Cyclicals
JSWSTEEL,JSW Steel Ltd,Materials,11.5528718021347,1.1328071688833383,15.604695052452788,-2389.0,16.089162657280323,1,0.7272716060621791,Value Cyclicals
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,14.013018188532914,4.003739266919029,13.51960376324537,6766.0,77.31246648372506,0,1.186240573825842,High Margin Businesses
LICI,Life Insurance Corporation of India,Financials,47.22408903146559,0.0,8.15986061977938,853.0,3.87474201090824,1,0.7899140202580192,Value Cyclicals
