id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
1284,UNIONBANK,Mar 2021,69311,36270,-11071.0,-16.0,14307,44112,908,2327,-22.0,2863,4.0,0.0
1302,VBL,Dec 2012,1800,1572,228.0,13.0,44,116,136,21,-20.0,25,2.0,0.0
1303,VBL,Dec 2013,2115,1824,291.0,14.0,19,171,184,-46,-11.0,-40,0.0,0.0
1315,VEDL,Mar 2013,2749,2283,465.0,17.0,33,475,197,-174,-25.0,2280,26.0,0.0
1316,VEDL,Mar 2014,66152,46557,19595.0,30.0,1874,5094,6882,9493,-9.0,11421,21.0,15.0
1318,VEDL,Mar 2016,64262,82741,-18479.0,-29.0,4290,5778,8572,-28540,-37.0,-17862,-41.0,-8.0
1322,VEDL,Mar 2020,84447,63704,20743.0,25.0,-14932,4977,9093,-8259,-43.0,-4744,-18.0,-22.0
1346,ZOMATO,Mar 2023,7079,8290,-1211.0,-17.0,682,49,437,-1015,-4.0,-971,-1.0,0.0
1347,ZOMATO,Mar 2024,12114,12071,43.0,0.0,846,72,526,291,-21.0,351,0.0,0.0
1368,INDIGO,Mar 2019,28497,563,28648.0,-151.0,-1,1325,760,-149,-99.0,156,4.0,123.0
1369,INDIGO,Mar 2020,35756,1902,31687.0,4069.0,11,1531,3974,-275,-10.0,-248,-6.0,0.0
1373,INDIGO,Mar 2024,68904,4805,52573.0,16331.0,24,2326,6406,8043,-2.0,8167,212.0,0.0
